,title,url,label
0,5 가까이 폭락한 비트코인,https://www.news1.kr/photos/view/?5583774,neg
1,비트코인 지금FOMC 앞두고 횡보 이더리움 7 급락,https://view.asiae.co.kr/article/2022091910453779424,neg
2,암호화폐 시장 꽁꽁’비트코인 1만9000달러대 붕괴,https://www.mk.co.kr/economy/view/2022/826446,neg
3,비트코인 금리인상 앞두고 2020년말 수준 18500달러 아래로 하락,https://www.hankyung.com/economy/article/202209190918i,neg
4,이더리움 두달만에 1300달러 붕괴12시간새 코인 시총 74兆 증발,http://www.edaily.co.kr/news/newspath.asp?newsid=02532166632461760,neg
5,속보비트코인 시세 2600만까지 추락 연준 금리 인상 단행할까,https://www.gukjenews.com/news/articleView.html?idxno=2553507,neut
6,미 FOMC 눈앞비트코인이더리움 가상화폐 57 급락,https://www.asiatime.co.kr/article/20220919500351,neg
7,비트코인이더리움 낙폭 확대 지금 사도 괜찮나,http://coinreaders.com/45847,neut
8,비트코인 낙폭 늘려 8 폭락 1만8000달러도 붕괴하나상보,https://www.news1.kr/articles/4806899,neg
9,블룸버그 수석전략가 비트코인 3년 안에 10만 달러 돌파 가능,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202209190041&t=NN,pos
10,블룸버그 수석전략가 비트코인 3년 안에 10만 달러 돌파 가능,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202209190041&t=NN,pos
11,비트코인 신봉자 마이클 세일러 비트코인 머지 이후 더 강해져,http://news.mt.co.kr/mtview.php?no=2022091907110834170,neut
12,비트코인 2700만 원 중반대 거래美 FOMC 앞두고 약세,https://biz.sbs.co.kr/article_hub/20000080893?division=NAVER,neg
13,이더리움 두달만에 1300달러 붕괴12시간새 코인 시총 74兆 증발,http://www.edaily.co.kr/news/newspath.asp?newsid=02532166632461760,neg
14,속보비트코인 시세 2600만까지 추락 연준 금리 인상 단행할까,https://www.gukjenews.com/news/articleView.html?idxno=2553507,neut
15,미 FOMC 눈앞비트코인이더리움 가상화폐 57 급락,https://www.asiatime.co.kr/article/20220919500351,neg
16,비트코인이더리움 낙폭 확대 지금 사도 괜찮나,http://coinreaders.com/45847,neut
17,울트라스텝 공포에 코인 시장 휘청이더리움 하루새 8 하락,http://www.edaily.co.kr/news/newspath.asp?newsid=01318566632461760,neg
18,이더리움 머지 성공만년 2등의 반란 대장 비트코인 넘을까,http://news.mt.co.kr/mtview.php?no=2022091916220252700,pos
19,속보 비트코인 6 급락 1만9000달러 붕괴,https://www.news1.kr/articles/4806468,neg
20,비트코인 2740만원대 상승이더리움 189만원대,https://www.cstimes.com/news/articleView.html?idxno=512560,pos
21,긴축 공포 비트코인 1만달러설 현실화 되나,http://coinreaders.com/45768,neg
22,0755 가상자산 비트코인 美 연준 통화정책회의 주목에 하락세,http://www.shinailbo.co.kr/news/articleView.html?idxno=1599985,neut
23,트윗시황 비트코인 풋옵션 증가했다,http://www.coindeskkorea.com/news/articleView.html?idxno=81405,pos
24,말말말마이클 세일러 비트코인 에너지 집약도 구글넷플릭스 보다 낮다,http://coinreaders.com/45819,neut
25,비트코인 美 금리 오르면 단기 바닥 형성5000달러로 하락 가능성 有,http://coinreaders.com/45820,neg
